# File Name: I:\Common\6. Lab operations\PCR-runs\B384_001967 250807 EH QP_20250807_122447.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type=: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778622100020
# Instrument Serial Number: 2778622100020
# Heated Cover Serial Number: 2779322112335
# Block serial number: 2778322092349
# Run Start Date/Time: 2025-08-07 12:24:53 PM CEST
# Run End Data/Time: 2025-08-07 01:11:54 PM CEST
# Run Duration: 47 minutes 0 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-08-07 02:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-08-07 02:22:48 PM CEST

[Results]
Well	Well Position	Sample Name	Target Name	Ct Threshold	Baseline Start2	Baseline End	Reporter	CT
374	P14	1885017@PC_MON1445_0000066542	35S_SPK	0.2	3	15	FAM	31.326
350	O14	1885016@SC_MON1445_0000066541	35S_SPK	0.2	3	15	FAM	33.02
326	N14	1885015@NC_0000066540	35S_SPK	0.2	3	15	FAM	UNDETERMINED
361	P01	1885003@PC_RAPESEED_0000066528	TR	0.1	1	10	VIC	16.626
337	O01	1885002@NC_0000066527	TR	0.1	1	10	VIC	32.766
373	P13	1885001@PC_DP73496_0000066526	DP73496	0.2	3	15	FAM	30.953
349	O13	1885000@NC_0000066525	DP73496	0.2	3	15	FAM	UNDETERMINED
372	P12	1884999@PC_MON88302_0000066524	MON88302	0.2	3	15	FAM	30.021
348	O12	1884998@NC_0000066523	MON88302	0.2	3	15	FAM	UNDETERMINED
371	P11	1884997@PC_RF3_0000066522	Rf3	0.2	3	15	FAM	30.771
347	O11	1884996@NC_0000066521	Rf3	0.2	3	15	FAM	UNDETERMINED
370	P10	1884995@PC_MS8_0000066520	MS8	0.2	3	15	FAM	31.62
346	O10	1884994@NC_0000066519	MS8	0.2	3	15	FAM	UNDETERMINED
369	P09	1884978@PC_OXY235_0000066518	oxy235	0.2	3	15	FAM	30.638
345	O09	1884977@NC_0000066517	oxy235	0.2	3	15	FAM	UNDETERMINED
368	P08	1884928@PC_RT73_0000066516	RT73 d	0.2	3	15	FAM	29.073
344	O08	1884927@NC_0000066515	RT73 d	0.2	3	15	FAM	UNDETERMINED
367	P07	1884926@PC_RT73_0000066514	SbEP1	0.2	3	15	FAM	29.769
343	O07	1884925@NC_0000066513	SbEP1	0.2	3	15	FAM	UNDETERMINED
366	P06	1884924@PC_MON1445_0000066512	pt	0.2	3	15	FAM	29.937
342	O06	1884923@NC_0000066511	pt	0.2	3	15	FAM	UNDETERMINED
365	P05	1884922@PC_GA21_0000066510	n	0.2	3	15	FAM	29.731
341	O05	1884921@NC_0000066509	n	0.2	3	15	FAM	UNDETERMINED
364	P04	1884920@PC_LLRICE62_0000066508	Sh	0.2	3	15	FAM	30.355
340	O04	1884919@NC_0000066507	Sh	0.2	3	15	FAM	UNDETERMINED
363	P03	1884918@PC_T45_0000066506	B11b	0.2	3	15	FAM	30.729
339	O03	1884917@NC_0000066505	B11b	0.2	3	15	FAM	UNDETERMINED
362	P02	1884916@PC_RAPESEED_0000066504	FatA	0.2	3	15	VIC	27.459
338	O02	1884915@NC_0000066503	FatA	0.2	3	15	VIC	UNDETERMINED
