* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = D:\Users\SNP\Desktop\experiments\B96_001128 250612 EH S.eds
* Experiment Run End Time = 2025-06-12 13:47:39 PM CEST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	NOAMP
A1	SE-25-0573-001-1A	BnAcc8	UNKNOWN	VIC	TAMRA	22.457	22.457					false	0.1	false	3	15	1830429	N
A2	SE-25-0573-001-1A	B11b	UNKNOWN	FAM	TAMRA	36.8866	36.8866					false	0.1	false	3	15	1830430	N
A3	SE-25-0573-001-1A	Sh	UNKNOWN	FAM	TAMRA	27.2239	27.2239					false	0.1	false	3	15	1830431	N
A4	SE-25-0573-001-1A	n	UNKNOWN	FAM	TAMRA	26.6125	26.6125					false	0.1	false	3	15	1830432	N
A5	SE-25-0573-001-1A	pt	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1830433	N
A6	SE-25-0573-001-1A	SbEP1	UNKNOWN	FAM	TAMRA	21.7358	21.7358					false	0.1	false	3	15	1830434	N
A7	SE-25-0573-001-1A	RT73 d	UNKNOWN	FAM	NFQ-MGB	24.0187	24.0187					false	0.1	false	3	15	1830435	N
A8	SE-25-0573-001-1A	oxy235	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.1	false	3	20	1830436	N
A9	SE-25-0573-001-1A	MS8	UNKNOWN	FAM	TAMRA	28.1213	28.1213					false	0.1	false	3	15	1830437	N
A10	SE-25-0573-001-1A	Rf3	UNKNOWN	FAM	TAMRA	27.3283	27.3283					false	0.1	false	3	15	1830438	N
A11	SE-25-0573-001-1A	MON88302	UNKNOWN	FAM	NFQ-MGB	22.8987	22.8987					false	0.1	false	3	15	1830439	N
A12	SE-25-0573-001-1A	DP73496	UNKNOWN	FAM	None	25.5174	25.5174					false	0.1	false	3	15	1830440	N
B1	SE-25-0573-001-1B	BnAcc8	UNKNOWN	VIC	TAMRA	22.2001	22.2001					false	0.1	false	3	15	1830443	N
