* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on  = 2025-04-07 11:19:53 AM CEST
* Calibration CY3 is expired  = Yes
* Calibration CY3 performed on  = 2024-02-12 10:17:15 AM CET
* Calibration FAM is expired  = No
* Calibration FAM performed on  = 2025-04-07 11:44:18 AM CEST
* Calibration MELTDOCTOR is expired  = Yes
* Calibration MELTDOCTOR performed on  = 2024-12-03 10:22:54 AM CET
* Calibration NED is expired  = No
* Calibration NED performed on  = 2025-04-07 12:27:00 PM CEST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2024-10-25 13:12:18 PM CEST
* Calibration ROX is expired  = No
* Calibration ROX performed on  = 2025-04-07 12:03:24 PM CEST
* Calibration SYBR is expired  = No
* Calibration SYBR performed on  = 2025-04-07 12:36:15 PM CEST
* Calibration TAMRA is expired  = No
* Calibration TAMRA performed on  = 2025-04-07 12:16:19 PM CEST
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on  = 2025-04-07 11:32:14 AM CEST
* Calibration VIC is expired  = No
* Calibration VIC performed on  = 2025-04-07 11:52:56 AM CEST
* Chemistry = TAQMAN
* Experiment Barcode = 
* Experiment Comments = NA
* Experiment File Name = I:\Common\6. Lab operations\PCR-runs\REP_001729 250722 SJ VIia7.eds
* Experiment Name = REP_001729 250722 SJ VIia7
* Experiment Run End Time = 2025-07-22 13:01:53 PM CEST
* Experiment Type = Standard Curve
* Experiment User Name = NA
* Instrument Name = 28880932
* Instrument Serial Number = 278880932
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Well Position	Sample Name	Target Name	Ct Threshold	Baseline Start	Baseline End	Comments	Reporter	CT
1	A1	SE-25-0766-P01-A1	MDP2309-r	0.080	1	42	1861712	VIC	25.798
1	A1	SE-25-0766-P01-A1	MDP2309-t	0.050	1	42	1861712	FAM	25.562
3	A3	SE-25-0766-P01-A2	MDP2309-r	0.080	1	42	1861714	VIC	25.652
3	A3	SE-25-0766-P01-A2	MDP2309-t	0.050	1	42	1861714	FAM	25.597
5	A5	SE-25-0766-P01-A3	MDP2309-r	0.080	1	42	1861716	VIC	25.455
5	A5	SE-25-0766-P01-A3	MDP2309-t	0.050	1	42	1861716	FAM	25.568
7	A7	SE-25-0766-P01-A4	MDP2309-r	0.080	1	42	1861718	VIC	25.494
7	A7	SE-25-0766-P01-A4	MDP2309-t	0.050	1	42	1861718	FAM	25.745
9	A9	SE-25-0766-P01-A5	MDP2309-r	0.080	1	42	1861720	VIC	25.577
9	A9	SE-25-0766-P01-A5	MDP2309-t	0.050	1	42	1861720	FAM	25.952
11	A11	SE-25-0766-P01-A6	MDP2309-r	0.080	1	42	1861722	VIC	25.347
11	A11	SE-25-0766-P01-A6	MDP2309-t	0.050	1	42	1861722	FAM	25.621
13	A13	SE-25-0766-P01-A7	MDP2309-r	0.080	1	42	1861724	VIC	25.990
13	A13	SE-25-0766-P01-A7	MDP2309-t	0.050	1	42	1861724	FAM	26.222
15	A15	SE-25-0766-P01-A8	MDP2309-r	0.080	1	42	1861726	VIC	25.161
15	A15	SE-25-0766-P01-A8	MDP2309-t	0.050	1	42	1861726	FAM	25.524
17	A17	SE-25-0766-P01-A9	MDP2309-r	0.080	1	42	1861728	VIC	25.224
17	A17	SE-25-0766-P01-A9	MDP2309-t	0.050	1	42	1861728	FAM	25.517
19	A19	SE-25-0766-P01-A10	MDP2309-r	0.080	1	42	1861730	VIC	25.824
19	A19	SE-25-0766-P01-A10	MDP2309-t	0.050	1	42	1861730	FAM	26.225
21	A21	SE-25-0766-P01-A11	MDP2309-r	0.080	1	42	1861732	VIC	25.329
21	A21	SE-25-0766-P01-A11	MDP2309-t	0.050	1	42	1861732	FAM	25.817
23	A23	SE-25-0766-P01-A12	MDP2309-r	0.080	1	42	1861734	VIC	24.561
23	A23	SE-25-0766-P01-A12	MDP2309-t	0.050	1	42	1861734	FAM	24.677
49	C1	SE-25-0766-P01-B1	MDP2309-r	0.080	1	42	1861736	VIC	24.862
49	C1	SE-25-0766-P01-B1	MDP2309-t	0.050	1	42	1861736	FAM	24.869
51	C3	SE-25-0766-P01-B2	MDP2309-r	0.080	1	42	1861738	VIC	25.560
51	C3	SE-25-0766-P01-B2	MDP2309-t	0.050	1	42	1861738	FAM	25.811
53	C5	SE-25-0766-P01-B3	MDP2309-r	0.080	1	42	1861740	VIC	25.506
53	C5	SE-25-0766-P01-B3	MDP2309-t	0.050	1	42	1861740	FAM	25.609
55	C7	SE-25-0766-P01-B4	MDP2309-r	0.080	1	42	1861742	VIC	25.410
55	C7	SE-25-0766-P01-B4	MDP2309-t	0.050	1	42	1861742	FAM	25.635
57	C9	SE-25-0766-P01-B5	MDP2309-r	0.080	1	42	1861744	VIC	25.709
57	C9	SE-25-0766-P01-B5	MDP2309-t	0.050	1	42	1861744	FAM	26.038
59	C11	SE-25-0766-P01-B6	MDP2309-r	0.080	1	42	1861746	VIC	25.372
59	C11	SE-25-0766-P01-B6	MDP2309-t	0.050	1	42	1861746	FAM	25.937
61	C13	SE-25-0766-P01-B7	MDP2309-r	0.080	1	42	1861748	VIC	25.244
61	C13	SE-25-0766-P01-B7	MDP2309-t	0.050	1	42	1861748	FAM	25.579
63	C15	SE-25-0766-P01-B8	MDP2309-r	0.080	1	42	1861750	VIC	25.140
63	C15	SE-25-0766-P01-B8	MDP2309-t	0.050	1	42	1861750	FAM	25.545
65	C17	SE-25-0766-P01-B9	MDP2309-r	0.080	1	42	1861752	VIC	25.295
65	C17	SE-25-0766-P01-B9	MDP2309-t	0.050	1	42	1861752	FAM	25.581
67	C19	SE-25-0766-P01-B10	MDP2309-r	0.080	1	42	1861754	VIC	25.411
67	C19	SE-25-0766-P01-B10	MDP2309-t	0.050	1	42	1861754	FAM	Undetermined
69	C21	SE-25-0766-P01-B11	MDP2309-r	0.080	1	42	1861756	VIC	25.258
69	C21	SE-25-0766-P01-B11	MDP2309-t	0.050	1	42	1861756	FAM	25.661
71	C23	SE-25-0766-P01-B12	MDP2309-r	0.080	1	42	1861758	VIC	25.433
71	C23	SE-25-0766-P01-B12	MDP2309-t	0.050	1	42	1861758	FAM	25.647
97	E1	SE-25-0766-P01-C1	MDP2309-r	0.080	1	42	1861760	VIC	25.231
97	E1	SE-25-0766-P01-C1	MDP2309-t	0.050	1	42	1861760	FAM	25.431
99	E3	SE-25-0766-P01-C2	MDP2309-r	0.080	1	42	1861762	VIC	25.407
99	E3	SE-25-0766-P01-C2	MDP2309-t	0.050	1	42	1861762	FAM	25.621
101	E5	SE-25-0766-P01-C3	MDP2309-r	0.080	1	42	1861764	VIC	24.928
101	E5	SE-25-0766-P01-C3	MDP2309-t	0.050	1	42	1861764	FAM	24.951
103	E7	SE-25-0766-P01-C4	MDP2309-r	0.080	1	42	1861766	VIC	25.634
103	E7	SE-25-0766-P01-C4	MDP2309-t	0.050	1	42	1861766	FAM	25.815
105	E9	SE-25-0766-P01-C5	MDP2309-r	0.080	1	42	1861768	VIC	25.274
